scenario_id,K,B,lambda,rho,mu_vm,mu_container,stage_capacity_ratio,holding_vm,holding_container,blocking_cost,states,full_state_optimal_gain,weighted_ff_gain,weighted_ff_relative_gap,weighted_ff_numerically_optimal,uniform_jsq_gain,uniform_jsq_relative_gap,lexicographic_ff_gain,lexicographic_ff_relative_gap,weighted_ff_improvement_over_uniform_jsq,weighted_ff_improvement_over_lexicographic_ff,uniform_jsq_endpoint_error,lexicographic_ff_endpoint_error,rvi_iterations,rvi_span_residual,bellman_residual,globally_certified_within_class,class_definition,minimum_feeder_weight,minimum_feeder_weight_fraction,best_feeder_weight,best_feeder_weight_fraction,best_candidate_kind,best_gain,critical_weight_count,candidate_weight_count,distinct_policy_count,critical_weights,lexicographic_weight,lexicographic_weight_fraction,lexicographic_gain,jsq_gain,improvement_over_lexicographic,improvement_over_jsq,best_tie_state_count,best_generator_residual,best_poisson_gain_error,best_cost_decomposition_error,check_checked_uniformized_rows,check_minimum_transition_probability,check_maximum_row_sum_error,check_rvi_stationary_gain_error,check_stationary_generator_residual,check_stationary_poisson_gain_error,check_arrival_promotion_flow_error,check_promotion_departure_flow_error,check_cost_decomposition_error
K4_B4_lambda1_rho0p5_muvm1_muc1_hvm0p5_hc1_cb1,4,4,1.0,0.5,1.0,1.0,0.25,0.5,1.0,1.0,625,1.7009438976973243,1.7009438976973226,0.0,True,1.7514684244690037,0.029703817298194053,1.7009438976973226,0.0,0.05052452677168118,0.0,0.0,0.0,694,9.809042467168183e-12,9.452633120687892e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,5.0,5,lexicographic_feeder_first,1.7009438976973226,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,1.7009438976973226,1.7514684244690037,0.0,0.05052452677168118,20,4.933221528762716e-16,1.9093615577503442e-12,2.220446049250313e-16,1025,0.0,2.220446049250313e-16,5.3723692161611325e-12,5.082739784612045e-16,2.0405899192610377e-13,7.771561172376096e-16,5.551115123125783e-16,0.0
K4_B4_lambda1p5_rho0p75_muvm1_muc1_hvm0p5_hc1_cb1,4,4,1.5,0.75,1.0,1.0,0.25,0.5,1.0,1.0,625,2.908932088611765,2.9089320886117718,0.0,True,2.9931017807165605,0.02893491134918996,2.9089320886117718,0.0,0.08416969210478875,0.0,0.0,0.0,930,9.897860309138196e-12,9.637735054468521e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,5.0,5,lexicographic_feeder_first,2.9089320886117718,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,2.9089320886117718,2.9931017807165605,0.0,0.08416969210478875,20,5.568462357885551e-16,2.744471316873387e-13,4.440892098500626e-16,1025,0.0,2.220446049250313e-16,2.3741453247794198e-11,4.902762223979451e-16,5.169198402654729e-13,1.3322676295501878e-15,0.0,0.0
K4_B4_lambda2_rho1_muvm1_muc1_hvm0p5_hc1_cb1,4,4,2.0,1.0,1.0,1.0,0.25,0.5,1.0,1.0,625,4.226363677453405,4.226363677453411,0.0,True,4.293813386212857,0.015959277030341744,4.226363677453411,0.0,0.06744970875944656,0.0,0.0,0.0,930,9.755751761986176e-12,9.49906819869284e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,5.0,5,lexicographic_feeder_first,4.226363677453411,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,4.226363677453411,4.293813386212857,0.0,0.06744970875944656,20,2.1423834928313568e-16,1.6964207816272392e-13,0.0,1025,0.0,2.220446049250313e-16,5.0590642786119133e-11,2.26706674266719e-16,1.9895196601282805e-13,1.3322676295501878e-15,1.3322676295501878e-15,0.0
K4_B4_lambda2_rho0p5_muvm2_muc1_hvm0p5_hc1_cb1,4,4,2.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,625,2.712176333815246,2.712178726927617,8.82358695154934e-07,False,2.786141305523379,0.027271446471212837,2.712178726927617,8.82358695154934e-07,0.07396257859576183,0.0,0.0,0.0,525,9.57811607804615e-12,9.1091856280201e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,5.0,5,lexicographic_feeder_first,2.712178726927617,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,2.712178726927617,2.786141305523379,0.0,0.07396257859576183,20,2.220446049250313e-16,8.614442492671515e-12,8.881784197001252e-16,1025,0.0,1.1102230246251565e-16,6.0396132539608516e-12,2.0816681711721685e-16,1.6829648785687823e-11,0.0,0.0,4.440892098500626e-16
K4_B4_lambda3_rho0p75_muvm2_muc1_hvm0p5_hc1_cb1,4,4,3.0,0.75,2.0,1.0,0.5,0.5,1.0,1.0,625,4.50275476918239,4.50278903427249,7.609805964569236e-06,False,4.603336686173788,0.02233786251913985,4.50278903427249,7.609805964569236e-06,0.100547651901298,0.0,0.0,0.0,760,9.759304475664976e-12,9.442335802134494e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,5.0,5,lexicographic_feeder_first,4.50278903427249,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,4.50278903427249,4.603336686173788,0.0,0.100547651901298,20,5.672545766444159e-16,3.650413304967515e-12,8.881784197001252e-16,1025,0.0,2.220446049250313e-16,3.306777074385536e-11,1.5154435865916138e-16,2.814637412029697e-12,0.0,8.881784197001252e-16,0.0
K4_B4_lambda4_rho1_muvm2_muc1_hvm0p5_hc1_cb1,4,4,4.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,625,6.417442619662268,6.417543951687777,1.5790094515024774e-05,False,6.472591777570916,0.008593634750964146,6.417543951687777,1.5790094515024774e-05,0.055047825883138835,0.0,0.0,0.0,750,9.961809155356605e-12,9.63279456200894e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,5.0,5,lexicographic_feeder_first,6.417543951687777,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,6.417543951687777,6.472591777570916,0.0,0.055047825883138835,20,4.858445460179106e-16,3.9523939676655573e-13,8.881784197001252e-16,1025,0.0,2.220446049250313e-16,7.79714071086346e-11,4.3369442152135784e-16,6.306066779870889e-13,8.881784197001252e-16,4.440892098500626e-16,0.0
K4_B4_lambda4_rho0p5_muvm4_muc1_hvm0p5_hc1_cb1,4,4,4.0,0.5,4.0,1.0,1.0,0.5,1.0,1.0,625,4.8943700733661375,4.896202814187111,0.00037445897909253365,False,4.964790956216247,0.014388140208955914,4.896748926110753,0.0004860385931093898,0.0685881420291361,0.0005461119236418455,0.0,0.0,817,9.71667191151937e-12,9.418965607466134e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,3.5,7/2,open_interval_representative,4.896202814187111,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,4.896748926110753,4.964790956216247,0.0005461119236418455,0.0685881420291361,20,3.000258461810512e-16,2.2080115513745113e-12,8.881784197001252e-16,1025,0.0,2.220446049250313e-16,2.9463542716712254e-11,7.979727989493313e-17,1.2008172234345693e-12,0.0,4.440892098500626e-16,8.881784197001252e-16
K4_B4_lambda6_rho0p75_muvm4_muc1_hvm0p5_hc1_cb1,4,4,6.0,0.75,4.0,1.0,1.0,0.5,1.0,1.0,625,8.26433084278002,8.265822561624615,0.00018050086243814794,False,8.29907929202576,0.004204629498357855,8.266845424838833,0.0003042692876955783,0.03325673040114552,0.0010228632142172955,0.0,0.0,919,9.9262820185686e-12,9.656830890492074e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,2.5,5/2,open_interval_representative,8.265822561624615,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,8.266845424838833,8.29907929202576,0.0010228632142172955,0.03325673040114552,20,3.7757510063397143e-16,1.758593271006248e-13,1.7763568394002505e-15,1025,0.0,2.220446049250313e-16,1.2389378412080987e-10,3.2158452875456767e-16,1.7408297026122455e-13,8.881784197001252e-16,8.881784197001252e-16,0.0
K4_B4_lambda8_rho1_muvm4_muc1_hvm0p5_hc1_cb1,4,4,8.0,1.0,4.0,1.0,1.0,0.5,1.0,1.0,625,11.119295105036397,11.119533975038184,2.1482477039328414e-05,False,11.125238347596333,0.0005344981407359977,11.119887535893564,5.327953360096833e-05,0.005704372558149373,0.00035356085538040816,0.0,0.0,608,9.919176591210999e-12,9.514611321037592e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,2.5,5/2,open_interval_representative,11.119533975038184,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,11.119887535893564,11.125238347596333,0.00035356085538040816,0.005704372558149373,20,2.0743985109023585e-16,2.7000623958883807e-13,0.0,1025,0.0,2.220446049250313e-16,1.8497914311410568e-10,3.0531133177191805e-16,2.5579538487363607e-13,1.7763568394002505e-15,0.0,1.7763568394002505e-15
K4_B4_lambda4_rho0p5_muvm8_muc1_hvm0p5_hc1_cb1,4,4,4.0,0.5,8.0,1.0,2.0,0.5,1.0,1.0,625,4.358673094450118,4.361950326462044,0.0007518875448812059,False,4.383798365113244,0.005764431082275398,4.3631475637647075,0.0010265668513397765,0.021848038651199886,0.00119723730266319,0.0,0.0,922,9.85522774499259e-12,9.587164395696846e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,2.5,5/2,open_interval_representative,4.361950326462044,6,12,12,"['1', '4/3', '3/2', '2', '3', '4']",5.0,5,4.3631475637647075,4.383798365113244,0.00119723730266319,0.021848038651199886,20,2.0685222198307818e-16,3.9257486150745535e-13,8.881784197001252e-16,1025,0.0,1.1102230246251565e-16,2.4789947872250195e-11,1.249000902703301e-16,2.4780177909633494e-13,4.440892098500626e-16,8.881784197001252e-16,8.881784197001252e-16
