scenario_id,K,B,lambda,rho,mu_vm,mu_container,stage_capacity_ratio,holding_vm,holding_container,blocking_cost,states,full_state_optimal_gain,weighted_ff_gain,weighted_ff_relative_gap,weighted_ff_numerically_optimal,uniform_jsq_gain,uniform_jsq_relative_gap,lexicographic_ff_gain,lexicographic_ff_relative_gap,weighted_ff_improvement_over_uniform_jsq,weighted_ff_improvement_over_lexicographic_ff,uniform_jsq_endpoint_error,lexicographic_ff_endpoint_error,rvi_iterations,rvi_span_residual,bellman_residual,globally_certified_within_class,class_definition,minimum_feeder_weight,minimum_feeder_weight_fraction,best_feeder_weight,best_feeder_weight_fraction,best_candidate_kind,best_gain,critical_weight_count,candidate_weight_count,distinct_policy_count,critical_weights,lexicographic_weight,lexicographic_weight_fraction,lexicographic_gain,jsq_gain,improvement_over_lexicographic,improvement_over_jsq,best_tie_state_count,best_generator_residual,best_poisson_gain_error,best_cost_decomposition_error,check_checked_uniformized_rows,check_minimum_transition_probability,check_maximum_row_sum_error,check_rvi_stationary_gain_error,check_stationary_generator_residual,check_stationary_poisson_gain_error,check_arrival_promotion_flow_error,check_promotion_departure_flow_error,check_cost_decomposition_error
K2_B1_lambda0p25_rho0p25_muvm0p5_muc1_hvm1_hc1_cb10,2,1,0.25,0.25,0.5,1.0,0.25,1.0,1.0,10.0,36,0.8849773159807302,0.8849773159807302,0.0,True,0.8849773159807302,0.0,0.8849773159807302,0.0,0.0,0.0,0.0,0.0,183,8.693490372024826e-12,7.538331070477966e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.0,1,uniform_tie_jsq_endpoint,0.8849773159807302,1,3,1,['1'],3.0,3,0.8849773159807302,0.8849773159807302,0.0,0.0,3,3.59121323207734e-17,6.328271240363392e-15,2.220446049250313e-16,45,0.0,2.220446049250313e-16,6.136868790918015e-12,9.302454639925628e-17,9.43689570931383e-15,2.7755575615628914e-17,8.326672684688674e-17,0.0
K2_B1_lambda0p5_rho0p5_muvm0p5_muc1_hvm1_hc1_cb10,2,1,0.5,0.5,0.5,1.0,0.25,1.0,1.0,10.0,36,2.2042896931552476,2.204289693155248,0.0,True,2.204289693155248,0.0,2.204289693155248,0.0,0.0,0.0,0.0,0.0,162,8.665068662594422e-12,7.351730335614093e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.0,1,uniform_tie_jsq_endpoint,2.204289693155248,1,3,1,['1'],3.0,3,2.204289693155248,2.204289693155248,0.0,0.0,3,1.3183898417423734e-16,4.440892098500626e-15,0.0,45,0.0,2.220446049250313e-16,1.085398437794538e-11,1.6653345369377348e-16,2.6201263381153694e-14,0.0,0.0,4.440892098500626e-16
K2_B1_lambda0p75_rho0p75_muvm0p5_muc1_hvm1_hc1_cb10,2,1,0.75,0.75,0.5,1.0,0.25,1.0,1.0,10.0,36,3.894278130747116,3.894278130747115,0.0,True,3.894278130747115,0.0,3.894278130747115,0.0,0.0,0.0,0.0,0.0,146,8.341771717823576e-12,6.941225372258941e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.0,1,uniform_tie_jsq_endpoint,3.894278130747115,1,3,1,['1'],3.0,3,3.894278130747115,3.894278130747115,0.0,0.0,3,1.4578453461783214e-16,1.3322676295501878e-14,4.440892098500626e-16,45,0.0,2.220446049250313e-16,1.3296030942910875e-11,1.5612511283791264e-16,1.5987211554602254e-14,1.1102230246251565e-16,3.3306690738754696e-16,0.0
K2_B1_lambda1_rho1_muvm0p5_muc1_hvm1_hc1_cb10,2,1,1.0,1.0,0.5,1.0,0.25,1.0,1.0,10.0,36,5.832231557655338,5.832231557655338,0.0,True,5.832231557655338,0.0,5.832231557655338,0.0,0.0,0.0,0.0,0.0,137,8.363087999896379e-12,6.8691718979607685e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.0,1,uniform_tie_jsq_endpoint,5.832231557655338,1,3,1,['1'],3.0,3,5.832231557655338,5.832231557655338,0.0,0.0,3,1.942890293094024e-16,2.6645352591003757e-14,8.881784197001252e-16,45,0.0,1.1102230246251565e-16,1.482813871689359e-11,1.1102230246251565e-16,1.687538997430238e-14,0.0,2.220446049250313e-16,0.0
K2_B1_lambda1p5_rho1p5_muvm0p5_muc1_hvm1_hc1_cb10,2,1,1.5,1.5,0.5,1.0,0.25,1.0,1.0,10.0,36,10.137624578862745,10.137624578862745,0.0,True,10.137624578862745,0.0,10.137624578862745,0.0,0.0,0.0,0.0,0.0,134,9.201528428093297e-12,7.544187496932864e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.0,1,uniform_tie_jsq_endpoint,10.137624578862745,1,3,1,['1'],3.0,3,10.137624578862745,10.137624578862745,0.0,0.0,3,6.700369425960417e-17,5.1514348342607263e-14,1.7763568394002505e-15,45,0.0,1.1102230246251565e-16,1.7482904013377265e-11,1.3877787807814457e-16,2.3092638912203256e-14,0.0,0.0,0.0
K2_B1_lambda0p5_rho0p25_muvm1_muc1_hvm1_hc1_cb10,2,1,0.5,0.25,1.0,1.0,0.5,1.0,1.0,10.0,36,1.3125936428407148,1.3125936428407141,0.0,True,1.3125936428407141,0.0,1.3125936428407141,0.0,0.0,0.0,0.0,0.0,117,8.787637284513039e-12,6.979694600062203e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.0,1,uniform_tie_jsq_endpoint,1.3125936428407141,1,3,1,['1'],3.0,3,1.3125936428407141,1.3125936428407141,0.0,0.0,3,8.400195144510347e-17,8.881784197001252e-15,0.0,45,0.0,2.220446049250313e-16,4.22084589501992e-12,5.551115123125783e-17,9.992007221626409e-15,0.0,1.1102230246251565e-16,0.0
K2_B1_lambda1_rho0p5_muvm1_muc1_hvm1_hc1_cb10,2,1,1.0,0.5,1.0,1.0,0.5,1.0,1.0,10.0,36,3.6608229179794387,3.660822917979436,0.0,True,3.660822917979436,0.0,3.660822917979436,0.0,0.0,0.0,0.0,0.0,131,8.43769498715119e-12,6.889266934706484e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.0,1,uniform_tie_jsq_endpoint,3.660822917979436,1,3,1,['1'],3.0,3,3.660822917979436,3.660822917979436,0.0,0.0,3,3.0531133177191805e-16,1.687538997430238e-14,0.0,45,0.0,1.1102230246251565e-16,9.15401088263934e-12,1.1102230246251565e-16,1.4210854715202004e-14,1.1102230246251565e-16,0.0,8.881784197001252e-16
K2_B1_lambda1p5_rho0p75_muvm1_muc1_hvm1_hc1_cb10,2,1,1.5,0.75,1.0,1.0,0.5,1.0,1.0,10.0,36,6.925681225186751,6.925681225186752,0.0,True,6.925681225186752,0.0,6.925681225186752,0.0,0.0,0.0,0.0,0.0,138,9.347189688924118e-12,7.713163441280813e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.0,1,uniform_tie_jsq_endpoint,6.925681225186752,1,3,1,['1'],3.0,3,6.925681225186752,6.925681225186752,0.0,0.0,3,1.734723475976807e-16,1.9539925233402755e-14,1.7763568394002505e-15,45,0.0,0.0,1.5643486506178306e-11,2.0816681711721685e-16,1.9539925233402755e-14,0.0,0.0,8.881784197001252e-16
K2_B1_lambda2_rho1_muvm1_muc1_hvm1_hc1_cb10,2,1,2.0,1.0,1.0,1.0,0.5,1.0,1.0,10.0,36,10.801850924393426,10.801850924393428,0.0,True,10.801850924393428,0.0,10.801850924393428,0.0,0.0,0.0,0.0,0.0,143,8.519407401763601e-12,7.0667915963440464e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.0,1,uniform_tie_jsq_endpoint,10.801850924393428,1,3,1,['1'],3.0,3,10.801850924393428,10.801850924393428,0.0,0.0,3,1.5265566588595902e-16,2.1316282072803006e-14,0.0,45,0.0,0.0,1.8552270830696216e-11,1.465841337200402e-16,3.375077994860476e-14,4.440892098500626e-16,8.881784197001252e-16,1.7763568394002505e-15
K2_B1_lambda3_rho1p5_muvm1_muc1_hvm1_hc1_cb10,2,1,3.0,1.5,1.0,1.0,0.5,1.0,1.0,10.0,36,19.550656322848408,19.5506563228484,0.0,True,19.5506563228484,0.0,19.5506563228484,0.0,0.0,0.0,0.0,0.0,151,9.514167231827741e-12,7.973177673648024e-12,True,uniform_argmin_r_q_plus_n_for_r_ge_minimum,1.0,1,1.0,1,uniform_tie_jsq_endpoint,19.5506563228484,1,3,1,['1'],3.0,3,19.5506563228484,19.5506563228484,0.0,0.0,3,1.1622647289044608e-16,3.197442310920451e-14,3.552713678800501e-15,45,0.0,0.0,2.7892355092262733e-11,9.020562075079397e-17,4.973799150320701e-14,4.440892098500626e-16,4.440892098500626e-16,0.0
