scenario_id,K,B,lambda,rho,mu_vm,mu_container,stage_capacity_ratio,holding_vm,holding_container,blocking_cost,states,full_state_optimal_gain,jsq_uniform_tie_gain,jsq_uniform_tie_relative_gap,jsq_lowest_index_gain,jsq_lowest_index_relative_gap,rz_candidate_gain,rz_candidate_relative_gap,candidate_observation_gap_upper,candidate_observation_share_upper,uniform_rule_gap_lower,uniform_rule_share_lower,candidate_decomposition_error,rz_globally_certified,rz_global_bound_relative_gap,rz_strictly_randomized_observations,rz_decision_observations,rz_start_count,rz_successful_start_count,rz_best_gain_start_count,rz_distinct_final_gain_count,rz_final_gain_range,rz_best_start_name,rz_projected_gradient_residual,rz_gain_evaluation_error,rz_fast_generator_residual,rz_poisson_residual,rz_independent_generator_residual,rz_independent_poisson_gain_error,rz_independent_cost_decomposition_error,rz_reflection_gain_error,rz_all_runs_no_worse_than_starts,rz_polishing_run_count,dz_solved,dz_gain,dz_relative_gap,rz_improvement_over_dz,rvi_span_residual,bellman_residual,check_checked_uniformized_rows,check_minimum_transition_probability,check_maximum_row_sum_error,check_rvi_stationary_gain_error,check_stationary_generator_residual,check_stationary_poisson_gain_error,check_arrival_promotion_flow_error,check_promotion_departure_flow_error,check_cost_decomposition_error
K2_B1_lambda0p25_rho0p25_muvm0p5_muc1_hvm1_hc1_cb10,2,1,0.25,0.25,0.5,1.0,0.25,1.0,1.0,10.0,36,0.8849773159807302,0.8849773159807302,0.0,0.8849773159807302,0.0,0.88497731598073,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,2,9,22,22,22,1,1.2212453270876722e-15,random_04,3.3306690738754696e-16,6.661338147750939e-16,5.551115123125783e-17,1.709743457922741e-14,6.326319676452918e-17,1.0547118733938987e-14,1.1102230246251565e-16,5.551115123125783e-16,True,0,False,,,,8.693490372024826e-12,7.538331070477966e-12,45,0.0,2.220446049250313e-16,6.136868790918015e-12,9.302454639925628e-17,9.43689570931383e-15,2.7755575615628914e-17,8.326672684688674e-17,0.0
K2_B1_lambda0p5_rho0p5_muvm0p5_muc1_hvm1_hc1_cb10,2,1,0.5,0.5,0.5,1.0,0.25,1.0,1.0,10.0,36,2.2042896931552476,2.204289693155248,0.0,2.2042896931552476,0.0,2.2042896931552476,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,2,9,22,22,22,1,3.552713678800501e-15,random_05_reflected,2.7755575615628914e-17,8.881784197001252e-16,1.1796119636642288e-16,1.509903313490213e-14,6.245004513516506e-17,1.5987211554602254e-14,4.440892098500626e-16,2.6645352591003757e-15,True,0,False,,,,8.665068662594422e-12,7.351730335614093e-12,45,0.0,2.220446049250313e-16,1.085398437794538e-11,1.6653345369377348e-16,2.6201263381153694e-14,0.0,0.0,4.440892098500626e-16
K2_B1_lambda0p75_rho0p75_muvm0p5_muc1_hvm1_hc1_cb10,2,1,0.75,0.75,0.5,1.0,0.25,1.0,1.0,10.0,36,3.894278130747116,3.894278130747115,0.0,3.894278130747116,0.0,3.8942781307471157,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,3,9,22,22,22,1,5.773159728050814e-15,random_07,1.1102230246251565e-16,1.7763568394002505e-15,1.5959455978986625e-16,1.9095836023552692e-14,1.734723475976807e-16,1.1102230246251565e-14,4.440892098500626e-16,3.1086244689504383e-15,True,0,False,,,,8.341771717823576e-12,6.941225372258941e-12,45,0.0,2.220446049250313e-16,1.3296030942910875e-11,1.5612511283791264e-16,1.5987211554602254e-14,1.1102230246251565e-16,3.3306690738754696e-16,0.0
K2_B1_lambda1_rho1_muvm0p5_muc1_hvm1_hc1_cb10,2,1,1.0,1.0,0.5,1.0,0.25,1.0,1.0,10.0,36,5.832231557655338,5.832231557655338,0.0,5.832231557655338,0.0,5.832231557655344,0.0,0.0,0.0,0.0,0.0,0.0,True,1.066015448193268e-15,2,9,22,22,22,1,7.993605777301127e-15,random_06,1.1102230246251565e-16,1.0658141036401503e-14,2.0513105103425744e-16,8.881784197001252e-15,3.144186300207963e-16,1.5987211554602254e-14,0.0,2.6645352591003757e-15,True,0,False,,,,8.363087999896379e-12,6.8691718979607685e-12,45,0.0,1.1102230246251565e-16,1.482813871689359e-11,1.1102230246251565e-16,1.687538997430238e-14,0.0,2.220446049250313e-16,0.0
K2_B1_lambda1p5_rho1p5_muvm0p5_muc1_hvm1_hc1_cb10,2,1,1.5,1.5,0.5,1.0,0.25,1.0,1.0,10.0,36,10.137624578862745,10.137624578862745,0.0,10.137624578862745,0.0,10.137624578862747,0.0,0.0,0.0,0.0,0.0,0.0,True,1.7522416869766596e-16,3,9,22,22,22,1,1.0658141036401503e-14,random_02,4.440892098500626e-16,7.105427357601002e-15,1.568840543586525e-16,4.085620730620576e-14,5.898059818321144e-17,1.9539925233402755e-14,1.7763568394002505e-15,3.552713678800501e-15,True,0,False,,,,9.201528428093297e-12,7.544187496932864e-12,45,0.0,1.1102230246251565e-16,1.7482904013377265e-11,1.3877787807814457e-16,2.3092638912203256e-14,0.0,0.0,0.0
K2_B1_lambda0p5_rho0p25_muvm1_muc1_hvm1_hc1_cb10,2,1,0.5,0.25,1.0,1.0,0.5,1.0,1.0,10.0,36,1.3125936428407148,1.3125936428407141,0.0,1.3125936428407148,0.0,1.312593642840715,0.0,0.0,0.0,0.0,0.0,0.0,True,1.691647724610965e-16,3,9,22,22,22,1,1.9984014443252818e-15,random_04,5.551115123125783e-17,1.1102230246251565e-15,1.5265566588595902e-16,2.042810365310288e-14,5.551115123125783e-17,6.217248937900877e-15,0.0,2.220446049250313e-16,True,0,False,,,,8.787637284513039e-12,6.979694600062203e-12,45,0.0,2.220446049250313e-16,4.22084589501992e-12,5.551115123125783e-17,9.992007221626409e-15,0.0,1.1102230246251565e-16,0.0
K2_B1_lambda1_rho0p5_muvm1_muc1_hvm1_hc1_cb10,2,1,1.0,0.5,1.0,1.0,0.5,1.0,1.0,10.0,36,3.6608229179794387,3.660822917979436,0.0,3.6608229179794387,0.0,3.6608229179794396,0.0,0.0,0.0,0.0,0.0,0.0,True,2.4261714909453964e-16,2,9,22,22,22,1,4.440892098500626e-15,random_03,1.1102230246251565e-16,3.552713678800501e-15,3.0531133177191805e-16,9.325873406851315e-15,1.5265566588595902e-16,2.0872192862952943e-14,0.0,4.440892098500626e-15,True,0,False,,,,8.43769498715119e-12,6.889266934706484e-12,45,0.0,1.1102230246251565e-16,9.15401088263934e-12,1.1102230246251565e-16,1.4210854715202004e-14,1.1102230246251565e-16,0.0,8.881784197001252e-16
K2_B1_lambda1p5_rho0p75_muvm1_muc1_hvm1_hc1_cb10,2,1,1.5,0.75,1.0,1.0,0.5,1.0,1.0,10.0,36,6.925681225186751,6.925681225186752,0.0,6.925681225186751,0.0,6.925681225186753,0.0,0.0,0.0,0.0,0.0,0.0,True,2.564883917758359e-16,1,9,22,22,22,1,8.881784197001252e-15,random_08,0.0,5.329070518200751e-15,1.3704315460216776e-16,2.930988785010413e-14,3.157196726277789e-16,1.509903313490213e-14,1.7763568394002505e-15,6.217248937900877e-15,True,0,False,,,,9.347189688924118e-12,7.713163441280813e-12,45,0.0,0.0,1.5643486506178306e-11,2.0816681711721685e-16,1.9539925233402755e-14,0.0,0.0,8.881784197001252e-16
K2_B1_lambda2_rho1_muvm1_muc1_hvm1_hc1_cb10,2,1,2.0,1.0,1.0,1.0,0.5,1.0,1.0,10.0,36,10.801850924393426,10.801850924393428,0.0,10.801850924393426,0.0,10.80185092439343,0.0,0.0,0.0,0.0,0.0,0.0,True,3.288986029956715e-16,3,9,22,22,22,1,7.105427357601002e-15,neutral_half,2.220446049250313e-16,7.105427357601002e-15,1.5959455978986625e-16,2.3092638912203256e-14,6.245004513516506e-17,3.019806626980426e-14,5.329070518200751e-15,3.552713678800501e-15,True,0,False,,,,8.519407401763601e-12,7.0667915963440464e-12,45,0.0,0.0,1.8552270830696216e-11,1.465841337200402e-16,3.375077994860476e-14,4.440892098500626e-16,8.881784197001252e-16,1.7763568394002505e-15
K2_B1_lambda3_rho1p5_muvm1_muc1_hvm1_hc1_cb10,2,1,3.0,1.5,1.0,1.0,0.5,1.0,1.0,10.0,36,19.550656322848408,19.5506563228484,0.0,19.550656322848408,0.0,19.5506563228484,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,3,9,22,22,22,1,1.4210854715202004e-14,uniform_tie_jsq,1.6653345369377348e-16,0.0,2.0816681711721685e-16,2.842170943040401e-14,1.1622647289044608e-16,3.197442310920451e-14,3.552713678800501e-15,0.0,True,0,False,,,,9.514167231827741e-12,7.973177673648024e-12,45,0.0,0.0,2.7892355092262733e-11,9.020562075079397e-17,4.973799150320701e-14,4.440892098500626e-16,4.440892098500626e-16,0.0
