certificate_pair,member,totals,feasible_actions,state,optimal_action_set,arrival_scores,best_runner_up_margin,scenario_id,family
1,left,"(1, 1, 1)","(1, 2, 3)","(0, 1, 1, 0, 1, 0)","(1,)","{1: 11.249496020396487, 2: 12.296493452112053, 3: 12.296493452112053}",1.0469974317155657,H07,homogeneous_core_K2
1,right,"(1, 1, 1)","(1, 2, 3)","(1, 0, 0, 1, 1, 0)","(2,)","{1: 12.29649345211205, 2: 11.249496020396487, 3: 12.296493452112053}",1.046997431715564,H07,homogeneous_core_K2
2,left,"(1, 1, 1)","(1, 2, 3)","(0, 1, 1, 0, 1, 0)","(1,)","{1: 11.249496020396487, 2: 12.296493452112053, 3: 12.296493452112053}",1.0469974317155657,H07,homogeneous_core_K2
2,right,"(1, 1, 1)","(1, 2, 3)","(1, 0, 1, 0, 0, 1)","(3,)","{1: 12.296493452112053, 2: 12.296493452112053, 3: 11.249496020396487}",1.0469974317155657,H07,homogeneous_core_K2
3,left,"(1, 1, 1)","(1, 2, 3)","(1, 0, 0, 1, 1, 0)","(2,)","{1: 12.29649345211205, 2: 11.249496020396487, 3: 12.296493452112053}",1.046997431715564,H07,homogeneous_core_K2
3,right,"(1, 1, 1)","(1, 2, 3)","(1, 0, 1, 0, 0, 1)","(3,)","{1: 12.296493452112053, 2: 12.296493452112053, 3: 11.249496020396487}",1.0469974317155657,H07,homogeneous_core_K2
4,left,"(1, 1, 2)","(1, 2, 3)","(0, 1, 1, 0, 0, 2)","(1,)","{1: 10.044567746435042, 2: 11.223514887139036, 3: 10.677022447541862}",0.6324547011068198,H07,homogeneous_core_K2
4,right,"(1, 1, 2)","(1, 2, 3)","(1, 0, 0, 1, 0, 2)","(2,)","{1: 11.223514887139036, 2: 10.044567746435042, 3: 10.677022447541862}",0.6324547011068198,H07,homogeneous_core_K2
1,left,"(1, 1, 1)","(1, 2, 3)","(0, 1, 1, 0, 1, 0)","(1,)","{1: 17.054827015013444, 2: 18.32432318507012, 3: 18.32432318507012}",1.2694961700566765,H08,homogeneous_core_K2
1,right,"(1, 1, 1)","(1, 2, 3)","(1, 0, 0, 1, 1, 0)","(2,)","{1: 18.32432318507012, 2: 17.054827015013444, 3: 18.32432318507012}",1.2694961700566765,H08,homogeneous_core_K2
2,left,"(1, 1, 1)","(1, 2, 3)","(0, 1, 1, 0, 1, 0)","(1,)","{1: 17.054827015013444, 2: 18.32432318507012, 3: 18.32432318507012}",1.2694961700566765,H08,homogeneous_core_K2
2,right,"(1, 1, 1)","(1, 2, 3)","(1, 0, 1, 0, 0, 1)","(3,)","{1: 18.32432318507012, 2: 18.32432318507012, 3: 17.054827015013444}",1.2694961700566765,H08,homogeneous_core_K2
3,left,"(1, 1, 1)","(1, 2, 3)","(1, 0, 0, 1, 1, 0)","(2,)","{1: 18.32432318507012, 2: 17.054827015013444, 3: 18.32432318507012}",1.2694961700566765,H08,homogeneous_core_K2
3,right,"(1, 1, 1)","(1, 2, 3)","(1, 0, 1, 0, 0, 1)","(3,)","{1: 18.32432318507012, 2: 18.32432318507012, 3: 17.054827015013444}",1.2694961700566765,H08,homogeneous_core_K2
4,left,"(1, 1, 2)","(1, 2, 3)","(0, 1, 1, 0, 0, 2)","(1,)","{1: 14.828554244107895, 2: 16.293000749509403, 3: 15.695534161420113}",0.8669799173122179,H08,homogeneous_core_K2
4,right,"(1, 1, 2)","(1, 2, 3)","(1, 0, 0, 1, 0, 2)","(2,)","{1: 16.293000749509403, 2: 14.828554244107895, 3: 15.69553416142011}",0.8669799173122144,H08,homogeneous_core_K2
1,left,"(1, 1, 1)","(1, 2, 3)","(0, 1, 1, 0, 1, 0)","(1,)","{1: 13.284394804686789, 2: 14.120847659085962, 3: 14.12084765908596}",0.8364528543991714,H09,homogeneous_core_K2
