scenario_id,family,N,homogeneous_K,homogeneous_B,rho,lambda,homogeneous_stage_capacity_ratio,states,uniformization_rate,optimal_gain,jsq_lowest_index_gain,jsq_lowest_index_relative_gain_gap,jsq_uniform_tie_gain,jsq_uniform_tie_absolute_gain_gap,jsq_uniform_tie_relative_gain_gap,uniform_minus_lowest_index_gain,uniform_tie_state_count,uniform_tie_stationary_probability,uniform_tie_z_measurability_error,jsq_uniform_tie_blocking_probability,jsq_uniform_tie_mean_vm_occupancy,jsq_uniform_tie_mean_container_occupancy,jsq_uniform_tie_mean_total_occupancy,jsq_uniform_tie_mean_response_time,jsq_uniform_tie_generator_residual,jsq_uniform_tie_poisson_residual,jsq_uniform_tie_poisson_gain_error,jsq_uniform_tie_cost_decomposition_error,composition_equivalence_classes,composition_reversal_classes,strict_reversal_pairs,rvi_iterations,rvi_span_residual,check_state_count_matches,check_generator_row_sum_error,check_minimum_off_diagonal_rate,check_uniformized_row_sum_error,check_minimum_uniformized_probability,check_bellman_residual,check_rvi_evaluation_gain_error,check_stationary_generator_residual,check_poisson_residual,check_poisson_gain_error,check_arrival_promotion_flow_error,check_promotion_departure_flow_error,check_cost_decomposition_error
H01,homogeneous_core_K2,3,2,1,0.6,1.7999999999999998,0.5,216,7.8077999999999985,6.383787907373459,6.383787907373459,0.0,6.383787907373642,1.829647544582258e-13,2.866084480139076e-14,1.829647544582258e-13,39,0.2824388729188696,0.0,0.19021479061660468,1.5023082993838854,1.457613376890873,2.9599216762747584,2.0306630847405467,3.1894625829309575e-14,1.616484723854228e-13,1.5516476992161188e-12,8.881784197001252e-16,108,0,0,211,9.688250202088966e-12,True,0.0,1.0,0.0,0.0009990009990008542,8.539058349299466e-12,2.4775737017534993e-11,3.077963231512548e-14,3.446132268436486e-13,1.3669065879184927e-12,1.127986593019159e-13,5.591083152012288e-13,0.0
H02,homogeneous_core_K2,3,2,1,0.9,2.7,0.5,216,8.708699999999999,12.698571333122423,12.698571333122423,0.0,12.698571333122429,5.329070518200751e-15,4.1965906072446325e-16,5.329070518200751e-15,39,0.16406233735577977,0.0,0.3324872717192994,1.9191306303428228,1.802284366358519,3.721414996701342,2.06483231290614,3.710226570419195e-14,1.2079226507921703e-13,1.7816859099184512e-12,1.7763568394002505e-15,108,0,0,217,9.194423000735696e-12,True,8.881784197001252e-16,1.0,1.1102230246251565e-16,0.0009990009990008542,8.12483413881182e-12,3.523048519582517e-11,3.710226570419195e-14,1.2789769243681803e-13,1.7692514120426495e-12,1.1257661469699087e-13,5.149214388211476e-13,3.552713678800501e-15
H03,homogeneous_core_K2,3,2,1,0.6,3.5999999999999996,1.0,216,12.612599999999999,13.08668405002373,13.08668405002373,0.0,13.086684050026184,2.454925152051146e-12,1.8758954848051786e-13,2.454925152051146e-12,39,0.21590756123899543,0.0,0.2418455901439939,1.6508869293566435,2.7293558754857625,4.380242804842406,1.6048632002118335,5.434194760844946e-14,2.2382096176443156e-13,1.5576873124700796e-11,1.7763568394002505e-15,108,0,0,308,9.556799795973347e-12,True,0.0,1.0,0.0,0.07928579357150786,8.769651671514112e-12,7.412559455133305e-11,5.3963777890686515e-14,1.7053025658242404e-13,1.312550068632845e-11,8.824052599720744e-13,2.6063595726100175e-12,0.0
H04,homogeneous_core_K2,3,2,1,0.9,5.4,1.0,216,14.414399999999999,27.796011991543597,27.796011991543597,0.0,27.796011991540247,-3.3502089991088724e-12,0.0,-3.3502089991088724e-12,39,0.11699658233078442,0.0,0.4174075294109255,2.1100060621729444,3.145999341177325,5.256005403350269,1.6706950108187797,6.053144097073471e-14,3.446132268436486e-13,1.901057089526148e-11,0.0,108,0,0,279,9.343636975245317e-12,True,0.0,1.0,1.1102230246251565e-16,0.06937506937506938,8.486100711024847e-12,6.965450438656262e-11,6.2977401071862e-14,3.730349362740526e-13,1.5653256468795007e-11,7.784883848671598e-13,2.2502000263102673e-12,3.552713678800501e-15
H05,homogeneous_core_K2,3,2,1,0.6,3.5999999999999996,2.0,216,18.6186,8.288551981840667,8.288551981840667,0.0,8.28855198184133,6.625811010962934e-13,7.993930695589988e-14,6.625811010962934e-13,39,0.34170048398098485,0.0,0.11013009103839677,1.120337032193477,3.2035316722655685,4.323868704459045,1.3497193556404854,8.64863736182997e-14,2.575717417130363e-13,1.3079315408504044e-11,1.7763568394002505e-15,108,0,0,498,9.85522774499259e-12,True,0.0,1.0,2.220446049250313e-16,0.05370973112908597,9.355793917364963e-12,1.0042811027233256e-10,8.539002838148235e-14,2.5934809855243657e-13,1.2422063377925951e-11,1.0267342531733448e-12,2.5788260415993136e-12,1.7763568394002505e-15
H06,homogeneous_core_K2,3,2,1,0.9,5.4,2.0,216,20.420399999999997,20.41898760023066,20.41898760023066,0.0,20.418987600230658,-3.552713678800501e-15,0.0,-3.552713678800501e-15,39,0.20538920299948188,0.0,0.27369199723408255,1.7175565346574373,3.922063214932764,5.639619749590201,1.437921685737616,9.364731212713195e-14,3.765876499528531e-13,1.8403056856186595e-11,0.0,108,0,0,421,9.812595180846984e-12,True,1.7763568394002505e-15,1.0,1.1102230246251565e-16,0.04897063720593133,9.208189766241048e-12,1.2074252708771382e-10,9.356404540028507e-14,1.9895196601282805e-13,1.8406609569865395e-11,1.1826095658307167e-12,2.008171406941983e-12,3.552713678800501e-15
H07,homogeneous_core_K2,3,2,2,0.6,1.7999999999999998,0.5,729,7.8077999999999985,4.999780100983518,5.188917277574817,0.03782909903459432,5.195715652327748,0.19593555134423024,0.03918883378604737,0.006798374752930769,171,0.44378511091877204,0.0,0.05618544018490604,2.485511521330231,1.6988662076692076,4.184377728999438,2.4630413567088945,3.638409018513755e-14,1.8030021919912542e-13,7.569056492684467e-12,8.881784197001252e-16,208,56,159,443,9.585221505403752e-12,True,0.0,1.0,0.0,0.0009990009990008542,9.032663506047811e-12,2.638778084929072e-11,3.601979825518242e-14,9.743317264110374e-13,6.8753891468986694e-12,1.1159961843532074e-12,6.743494651573201e-13,8.881784197001252e-16
H08,homogeneous_core_K2,3,2,2,0.9,2.7,0.5,729,8.708699999999999,11.370117231842933,11.557942013260954,0.01651915961710601,11.557823735855274,0.18770650401234157,0.01650875713811062,-0.00011827740567937894,171,0.26536262427113266,0.0,0.20576966884409642,3.857620782949145,2.144421894115525,6.00204267706467,2.7989094373265013,3.9902109394418517e-14,3.232969447708456e-13,3.305622442439926e-11,1.7763568394002505e-15,208,56,159,430,9.833911462919787e-12,True,8.881784197001252e-16,1.0,1.1102230246251565e-16,0.0009990009990008542,9.25326482104083e-12,2.1604051880785846e-11,3.8702548110780555e-14,6.874500968478969e-13,2.608935290027148e-11,2.879918525877656e-12,1.1390888232654106e-12,3.552713678800501e-15
H09,homogeneous_core_K2,3,2,2,0.6,3.5999999999999996,1.0,729,12.612599999999999,10.772727773770711,10.931350697120662,0.01472449009025954,10.931062662089069,0.15833488831835751,0.014697752662410083,-0.0002880350315930258,171,0.3395680729461548,0.0,0.1273791041132845,3.203979688827587,3.14143522518324,6.345414914010827,2.019909518784571,5.974040706568928e-14,4.11226608321158e-12,5.0258464057151286e-11,0.0,208,56,159,581,9.57101065068855e-12,True,0.0,1.0,0.0,0.0009990009990009652,9.148348745213752e-12,1.5711876244495215e-11,5.973346817178538e-14,5.311306949806749e-13,4.650324569865916e-11,5.3441695513356535e-12,2.6925128793209296e-12,3.552713678800501e-15
H10,homogeneous_core_K2,3,2,2,0.9,5.4,1.0,729,14.414399999999999,26.997257079347587,27.06618999363249,0.00255333029138121,27.063255003558925,0.06599792421133799,0.002444615911066951,-0.002934990073566013,171,0.1670547087080766,0.0,0.3509366610766447,4.60773327524118,3.5049420301789382,8.112675305420119,2.314638939973943,6.644684802381562e-14,1.2967404927621828e-12,5.879741138414829e-11,7.105427357601002e-15,208,29,42,404,9.947598300641403e-12,True,0.0,1.0,1.1102230246251565e-16,0.0009990009990009652,9.310552329111488e-12,5.1031179282290395e-11,6.621092563108277e-14,6.394884621840902e-13,6.062705892873055e-11,5.409450665183613e-12,1.8141044222375058e-12,3.552713678800501e-15
